Task,AOI,Number of Saccades,Total Saccade Duration,Average Saccade Duration,Total Saccade Amplitude,Average Saccade Amplitude,Average Peak Velocity of Saccades
SWA_Stimulus,Whole Stimulus,2702.0,108604.8654,40.194250703182824,6933.0713,3.2067859851988896,138.94511439674315
SWA_Stimulus2,Whole Stimulus,1236.0,57868.435300000005,46.81912241100324,2903.7361999999994,2.900835364635364,142.03413203883494
SWA_Stimulus,SWA_Stimulus_Journalist_List_1,75.0,2491.0573,33.214097333333335,60.5789,1.142998113207547,98.934884
SWA_Stimulus,SWA_Stimulus_Status_invited1,35.0,1133.2105,32.37744285714285,19.9827,0.6890586206896552,95.95923714285715
SWA_Stimulus,SWA_Stimulus_Add_1,18.0,274.95439999999996,15.275244444444443,8.5913,0.9545888888888889,59.804966666666665
SWA_Stimulus,SWA_Stimulus_Status_Request2,3.0,58.316900000000004,19.43896666666667,0.3299,0.3299,65.31016666666666
SWA_Stimulus,SWA_Stimulus_Navigation_2,17.0,324.81,19.106470588235293,14.6254,1.4625400000000002,129.56591764705882
SWA_Stimulus,SWA_Stimulus_Status_Published3,18.0,366.6431,20.36906111111111,8.3587,1.0448375,62.47548888888889
SWA_Stimulus,SWA_Stimulus_EventInfo_1,245.0,7299.0322,29.791968163265306,541.2179,3.092673714285714,115.09120408163265
SWA_Stimulus,SWA_Stimulus_Confirm_add,1.0,8.3046,8.3046,0.0,,59.2965
SWA_Stimulus,SWA_Stimulus_Status_Published2,7.0,74.9876,10.712514285714287,2.1998,2.1998,99.05285714285715
SWA_Stimulus,SWA_Stimulus_Journalist_List_6,21.0,800.2236,38.10588571428572,20.4792,1.4627999999999999,121.82898095238095
SWA_Stimulus,SWA_Stimulus_Status_Published_6,6.0,125.0223,20.83705,3.8319,0.7663800000000001,88.28988333333332
SWA_Stimulus,SWA_Stimulus_Status_Published_5,14.0,416.5899,29.75642142857143,6.5185,0.8148125,100.72265714285713
SWA_Stimulus,SWA_Stimulus_Status Request1,20.0,400.03520000000003,20.00176,22.045,1.695769230769231,80.963995
SWA_Stimulus,SWA_Stimulus_EventInfo_2,125.0,3841.2027,30.729621599999998,184.623,1.9640744680851063,104.65468399999999
SWA_Stimulus,SWA_Stimulus_Status_Published1,33.0,616.4602,18.68061212121212,12.119900000000001,0.6378894736842106,57.83913333333333
SWA_Stimulus,SWA_Stimulus_Journalist_List5,28.0,1866.5544,66.66265714285714,42.734700000000004,1.5827666666666669,136.5346607142857
SWA_Stimulus,SWA_Stimulus_Question_Task1,86.0,3357.8841,39.04516395348838,161.7111,2.2459875,110.95045348837209
SWA_Stimulus,SWA_Stimulus_Journalist_List4,47.0,1216.5308,25.88363404255319,43.2363,1.3947193548387096,83.95334468085107
SWA_Stimulus,SWA_Stimulus_EventInfo_3,29.0,1058.5035,36.500120689655176,46.9756,2.34878,109.31962413793103
SWA_Stimulus,SWA_Stimulus_Status_Published_4,33.0,1449.6961,43.93018484848484,28.6832,1.147328,94.90483636363636
SWA_Stimulus,SWA_Stimulus_Navigation_1,43.0,2066.3668,48.05504186046511,49.45,1.412857142857143,136.56416511627907
SWA_Stimulus,SWA_Stimulus_Journalist_selection,1.0,8.3141,8.3141,0.0,,33.1626
SWA_Stimulus,SWA_Stimulus_Event_Details,352.0,14523.7227,41.26057585227273,408.2088,1.5231671641791045,102.25959886363636
SWA_Stimulus,SWA_Stimulus_Journalist_List_3,26.0,566.3484,21.782630769230767,17.8523,1.11576875,75.69424615384615
SWA_Stimulus,SWA_Stimulus_Available_Journalists,100.0,3216.514,32.16514,95.2985,1.1765246913580247,77.90515
SWA_Stimulus,SWA_Stimulus_Add_2,4.0,66.7229,16.680725,1.5391,0.76955,67.43424999999999
SWA_Stimulus,SWA_Stimulus_Journalist_List_2,27.0,800.0009,29.629662962962964,26.7695,1.4871944444444445,114.49664074074073
