Respondent,SourceStimuliName,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
P1,SWA_Stimulus,SWA_Stimulus_Question_Task1,953.7829,1262.1019,2,2,308.31899999999985
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List_2,5269.9931,5528.3232,1,1,258.33010000000013
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,5578.2787,5703.2645,1,0,124.98580000000038
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,5978.2438,6111.5613,1,1,133.3175000000001
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,6294.8838,6986.4534,2,2,691.5696000000007
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,7261.4247,7528.1398,1,1,266.71510000000035
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,7819.7261,10277.7899,8,9,2458.0638
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List_3,10277.7899,10527.729,1,0,249.9390999999996
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,10586.0775,11369.3215,2,3,783.2440000000006
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List_1,11369.3215,13127.4505,4,7,1758.1290000000008
P1,SWA_Stimulus,SWA_Stimulus_Status_Published1,13127.4505,13319.0954,1,0,191.64489999999932
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,13352.4657,14052.3499,1,0,699.8841999999986
P1,SWA_Stimulus,SWA_Stimulus_Status_Published2,14077.3766,14593.9928,1,0,516.6162000000004
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List_2,14635.6244,14868.9516,1,1,233.32719999999972
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List_3,14918.9358,15110.5988,1,0,191.66300000000047
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,15610.5403,15627.2045,0,1,16.664199999999255
P1,SWA_Stimulus,SWA_Stimulus_Status Request1,16035.4715,16060.502,0,1,25.030500000000757
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,16752.0669,17077.02,1,0,324.9530999999988
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,17552.0023,18151.9084,1,1,599.9061000000002
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_1,18226.9292,18385.2163,1,2,158.28710000000137
P1,SWA_Stimulus,SWA_Stimulus_Add_1,18393.5477,18426.8777,0,1,33.330000000001746
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,18701.8538,19268.479,3,2,566.6251999999986
P1,SWA_Stimulus,SWA_Stimulus_Confirm_add,19685.1195,19910.0459,1,0,224.92640000000029
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,19951.7326,22351.4635,5,5,2399.7309000000023
P1,SWA_Stimulus,SWA_Stimulus_Available_Journalists,22351.4635,22976.3807,1,1,624.9171999999999
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,22976.3807,23084.7178,1,0,108.33709999999701
P1,SWA_Stimulus,SWA_Stimulus_Navigation_2,23476.3717,23543.0009,1,0,66.6291999999994
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_3,23609.6428,23809.6561,1,0,200.0132999999987
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,24092.9492,24267.9212,1,0,174.97200000000157
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List5,24626.2188,24759.5757,1,0,133.3569000000025
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,24759.5757,24784.5158,0,1,24.940099999999802
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,26051.0745,26351.0627,1,1,299.9881999999998
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,26351.0627,26567.6693,1,0,216.6066000000028
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,26626.0176,26684.3467,0,2,58.329099999999016
P1,SWA_Stimulus,SWA_Stimulus_Status_Published_4,26759.305,27075.9636,1,1,316.65859999999884
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List5,27075.9636,27117.6142,0,1,41.65060000000085
P1,SWA_Stimulus,SWA_Stimulus_Event_Details,28117.5068,29609.022,3,8,1491.5152000000016
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List_6,29933.9836,30200.6137,2,2,266.63010000000213
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,30550.5889,31333.8173,2,2,783.2284
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,31333.8173,31583.8109,1,1,249.9936000000016
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,31658.7728,31883.768,2,3,224.9952000000012
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,31933.7388,32100.4201,1,0,166.6813000000002
P1,SWA_Stimulus,SWA_Stimulus_Status_invited1,32125.4076,32475.3798,1,1,349.97220000000016
P1,SWA_Stimulus,SWA_Stimulus_Journalist_List4,32500.3629,32808.6796,2,3,308.31670000000304
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,32808.6796,32975.3134,1,2,166.63379999999597
P1,SWA_Stimulus,SWA_Stimulus_EventInfo_2,33266.9465,33483.607,1,1,216.6605000000054
