TransitionSource,SWA_Stimulus2_Submission,SWA_Stimulus2_Question_Task2,SWA_Stimulus2_Question,SWA_Stimulus2_Question_Control,SWA_Stimulus2_Current_Selection,SWA_Stimulus2_EventInfo,SWA_Stimulus2_Question_Editor,SWA_Stimulus2_Edit_button,SWA_Stimulus2_Submission_information,SWA_Stimulus2_Published_Report_1,SWA_Stimulus2_Navigation_3,SWA_Stimulus2_Navigation_2,SWA_Stimulus2_Navigation_1,SWA_Stimulus2_View button,SWA_Stimulus2_Help_button
SWA_Stimulus2_Submission,0.214,0.107,0.0,0.0,0.107,0.0,0.0,0.036,0.036,0.036,0.0,0.143,0.0,0.321,0.0
SWA_Stimulus2_Question_Task2,0.0,0.6,0.24,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus2_Question,0.114,0.114,0.314,0.343,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.029,0.0
SWA_Stimulus2_Question_Control,0.105,0.0,0.526,0.263,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.053,0.0
SWA_Stimulus2_Current_Selection,0.0,0.0,0.0,0.0,0.15,0.25,0.15,0.0,0.0,0.35,0.1,0.0,0.0,0.0,0.0
SWA_Stimulus2_EventInfo,0.048,0.0,0.048,0.0,0.048,0.143,0.19,0.0,0.19,0.0,0.286,0.048,0.0,0.0,0.0
SWA_Stimulus2_Question_Editor,0.03,0.03,0.0,0.0,0.152,0.03,0.152,0.182,0.182,0.03,0.03,0.0,0.0,0.03,0.152
SWA_Stimulus2_Edit_button,0.154,0.154,0.0,0.0,0.0,0.154,0.154,0.077,0.231,0.0,0.0,0.0,0.0,0.0,0.077
SWA_Stimulus2_Submission_information,0.0,0.0,0.0,0.071,0.143,0.214,0.357,0.071,0.0,0.0,0.143,0.0,0.0,0.0,0.0
SWA_Stimulus2_Published_Report_1,0.0,0.0,0.059,0.0,0.235,0.059,0.353,0.0,0.0,0.294,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus2_Navigation_3,0.0,0.0,0.083,0.083,0.083,0.417,0.083,0.0,0.0,0.083,0.167,0.0,0.0,0.0,0.0
SWA_Stimulus2_Navigation_2,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.0,0.0,0.0
SWA_Stimulus2_Navigation_1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
SWA_Stimulus2_View button,0.538,0.0,0.154,0.0,0.0,0.0,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.154,0.0
SWA_Stimulus2_Help_button,0.0,0.0,0.0,0.0,0.0,0.125,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25
