TransitionSource,SWA_Stimulus2_Submission,SWA_Stimulus2_Question_Task2,SWA_Stimulus2_Question,SWA_Stimulus2_Question_Control,SWA_Stimulus2_Current_Selection,SWA_Stimulus2_EventInfo,SWA_Stimulus2_Question_Editor,SWA_Stimulus2_Edit_button,SWA_Stimulus2_Submission_information,SWA_Stimulus2_Published_Report_1,SWA_Stimulus2_Navigation_3,SWA_Stimulus2_Navigation_2,SWA_Stimulus2_Navigation_1,SWA_Stimulus2_View button,SWA_Stimulus2_Help_button
SWA_Stimulus2_Submission,0.0,0.136,0.0,0.0,0.136,0.0,0.0,0.045,0.045,0.045,0.0,0.182,0.0,0.409,0.0
SWA_Stimulus2_Question_Task2,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus2_Question,0.167,0.167,0.0,0.5,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.042,0.0
SWA_Stimulus2_Question_Control,0.143,0.0,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.071,0.0
SWA_Stimulus2_Current_Selection,0.0,0.0,0.0,0.0,0.0,0.294,0.176,0.0,0.0,0.412,0.118,0.0,0.0,0.0,0.0
SWA_Stimulus2_EventInfo,0.056,0.0,0.056,0.0,0.056,0.0,0.222,0.0,0.222,0.0,0.333,0.056,0.0,0.0,0.0
SWA_Stimulus2_Question_Editor,0.036,0.036,0.0,0.0,0.179,0.036,0.0,0.214,0.214,0.036,0.036,0.0,0.0,0.036,0.179
SWA_Stimulus2_Edit_button,0.167,0.167,0.0,0.0,0.0,0.167,0.167,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.083
SWA_Stimulus2_Submission_information,0.0,0.0,0.0,0.071,0.143,0.214,0.357,0.071,0.0,0.0,0.143,0.0,0.0,0.0,0.0
SWA_Stimulus2_Published_Report_1,0.0,0.0,0.083,0.0,0.333,0.083,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus2_Navigation_3,0.0,0.0,0.1,0.1,0.1,0.5,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus2_Navigation_2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus2_Navigation_1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus2_View button,0.636,0.0,0.182,0.0,0.0,0.0,0.091,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWA_Stimulus2_Help_button,0.0,0.0,0.0,0.0,0.0,0.167,0.667,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
