TransitionSource,SWA_Stimulus2_Submission,SWA_Stimulus2_Question_Task2,SWA_Stimulus2_Question,SWA_Stimulus2_Question_Control,SWA_Stimulus2_Current_Selection,SWA_Stimulus2_EventInfo,SWA_Stimulus2_Question_Editor,SWA_Stimulus2_Edit_button,SWA_Stimulus2_Submission_information,SWA_Stimulus2_Published_Report_1,SWA_Stimulus2_Navigation_3,SWA_Stimulus2_Navigation_2,SWA_Stimulus2_Navigation_1,SWA_Stimulus2_View button,SWA_Stimulus2_Help_button
SWA_Stimulus2_Submission,6,3,0,0,3,0,0,1,1,1,0,4,0,9,0
SWA_Stimulus2_Question_Task2,0,15,6,0,0,0,2,2,0,0,0,0,0,0,0
SWA_Stimulus2_Question,4,4,11,12,1,0,0,0,0,0,0,0,2,1,0
SWA_Stimulus2_Question_Control,2,0,10,5,0,0,0,0,0,1,0,0,0,1,0
SWA_Stimulus2_Current_Selection,0,0,0,0,3,5,3,0,0,7,2,0,0,0,0
SWA_Stimulus2_EventInfo,1,0,1,0,1,3,4,0,4,0,6,1,0,0,0
SWA_Stimulus2_Question_Editor,1,1,0,0,5,1,5,6,6,1,1,0,0,1,5
SWA_Stimulus2_Edit_button,2,2,0,0,0,2,2,1,3,0,0,0,0,0,1
SWA_Stimulus2_Submission_information,0,0,0,1,2,3,5,1,0,0,2,0,0,0,0
SWA_Stimulus2_Published_Report_1,0,0,1,0,4,1,6,0,0,5,0,0,0,0,0
SWA_Stimulus2_Navigation_3,0,0,1,1,1,5,1,0,0,1,2,0,0,0,0
SWA_Stimulus2_Navigation_2,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0
SWA_Stimulus2_Navigation_1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
SWA_Stimulus2_View button,7,0,2,0,0,0,1,1,0,0,0,0,0,2,0
SWA_Stimulus2_Help_button,0,0,0,0,0,1,4,1,0,0,0,0,0,0,2
